NAMESPACE            LAST SEEN   TYPE      REASON               OBJECT                                                             MESSAGE
default              10m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              9m44s       Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              9m17s       Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              8m53s       Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              8m10s       Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              7m50s       Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              7m33s       Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              6m27s       Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              6m2s        Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              5m36s       Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              5m10s       Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              4m39s       Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              4m15s       Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              3m52s       Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              2m15s       Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              108s        Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              83s         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              57s         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              30s         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              2s          Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              60m         Warning   PolicyViolation      namespace/ksp-dev                                                  policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              60m         Warning   PolicyViolation      namespace/ksp-dev                                                  policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              59m         Warning   PolicyViolation      namespace/ksp-dev                                                  policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              59m         Warning   PolicyViolation      namespace/ksp-dev                                                  policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              58m         Warning   PolicyViolation      namespace/ksp-dev                                                  policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              58m         Warning   PolicyViolation      namespace/ksp-dev                                                  policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              57m         Warning   PolicyViolation      namespace/ksp-dev                                                  policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              57m         Warning   PolicyViolation      namespace/ksp-dev                                                  policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              57m         Warning   PolicyViolation      namespace/ksp-dev                                                  policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              56m         Warning   PolicyViolation      namespace/ksp-dev                                                  policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              56m         Warning   PolicyViolation      namespace/ksp-dev                                                  policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              55m         Warning   PolicyViolation      namespace/ksp-dev                                                  policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              55m         Warning   PolicyViolation      namespace/ksp-dev                                                  policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              54m         Warning   PolicyViolation      namespace/ksp-dev                                                  policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              54m         Warning   PolicyViolation      namespace/ksp-dev                                                  policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              53m         Warning   PolicyViolation      namespace/ksp-dev                                                  policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              53m         Warning   PolicyViolation      namespace/ksp-dev                                                  policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              53m         Warning   PolicyViolation      namespace/ksp-dev                                                  policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              52m         Warning   PolicyViolation      namespace/ksp-dev                                                  policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              52m         Warning   PolicyViolation      namespace/ksp-dev                                                  policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              51m         Warning   PolicyViolation      namespace/ksp-dev                                                  policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              51m         Warning   PolicyViolation      namespace/ksp-dev                                                  policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              50m         Warning   PolicyViolation      namespace/ksp-dev                                                  policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              50m         Warning   PolicyViolation      namespace/ksp-dev                                                  policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              49m         Warning   PolicyViolation      namespace/ksp-dev                                                  policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              49m         Warning   PolicyViolation      namespace/ksp-dev                                                  policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              48m         Warning   PolicyViolation      namespace/ksp-dev                                                  policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              47m         Warning   PolicyViolation      namespace/ksp-dev                                                  policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              47m         Warning   PolicyViolation      namespace/ksp-dev                                                  policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              47m         Warning   PolicyViolation      namespace/ksp-dev                                                  policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              46m         Warning   PolicyViolation      namespace/ksp-dev                                                  policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              46m         Warning   PolicyViolation      namespace/ksp-dev                                                  policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              45m         Warning   PolicyViolation      namespace/ksp-dev                                                  policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              45m         Warning   PolicyViolation      namespace/ksp-dev                                                  policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              44m         Warning   PolicyViolation      namespace/ksp-dev                                                  policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              44m         Warning   PolicyViolation      namespace/ksp-dev                                                  policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              43m         Warning   PolicyViolation      namespace/ksp-dev                                                  policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              43m         Warning   PolicyViolation      namespace/ksp-dev                                                  policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              43m         Warning   PolicyViolation      namespace/ksp-dev                                                  policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              42m         Warning   PolicyViolation      namespace/ksp-dev                                                  policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              41m         Warning   PolicyViolation      namespace/ksp-dev                                                  policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              41m         Warning   PolicyViolation      namespace/ksp-dev                                                  policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              40m         Warning   PolicyViolation      namespace/ksp-dev                                                  policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              40m         Warning   PolicyViolation      namespace/ksp-dev                                                  policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
